user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
itsnastynaz,6.545660774398825e+18,6.928798709320928e+18,Did I Handle This Right ? 👀@noni1810 #foryou #fyp #viral #customersbelike,1613236674.0,11.0,https://www.tiktok.com/@itsnastynaz/video/6928798709320928517?lang=en,314700.0,512.0,1727.0,4200000.0
itsnastynaz,6.545660774398825e+18,6.928481448517176e+18,I Asked This Sweet Homeless Man What I Could Do To Make Him Smile 😊 ( He CRIED ) ❤️😢 #foryou #homeless #help #itsnastynaz,1613162803.0,20.0,https://www.tiktok.com/@itsnastynaz/video/6928481448517176582?lang=en,210600.0,844.0,3344.0,1200000.0
itsnastynaz,6.545660774398825e+18,6.928461155337833e+18,He Lost $100 😂 @tinysavage_  #foryou #kid #funny,1613158080.0,6.0,https://www.tiktok.com/@itsnastynaz/video/6928461155337833734?lang=en,131900.0,177.0,565.0,1100000.0
itsnastynaz,6.545660774398825e+18,6.928263760935161e+18,#stitch with @marlyestevess,1613112151.0,7.0,https://www.tiktok.com/@itsnastynaz/video/6928263760935161094?lang=en,307700.0,2301.0,2475.0,2500000.0
itsnastynaz,6.545660774398825e+18,6.928231937341541e+18,OMG What Did He Say ?????? 🤯,1613104726.0,7.0,https://www.tiktok.com/@itsnastynaz/video/6928231937341541637?lang=en,202600.0,1504.0,1561.0,1900000.0
itsnastynaz,6.545660774398825e+18,6.928098031195753e+18,He Wasn’t Specific 🤷🏻‍♂️,1613073534.0,18.0,https://www.tiktok.com/@itsnastynaz/video/6928098031195753733?lang=en,172500.0,134.0,680.0,1500000.0
itsnastynaz,6.545660774398825e+18,6.927727250741726e+18,bAg It uP............😭 ( @tinysavage_  ) #foryou #customersbelike #rude,1612987204.0,28.0,https://www.tiktok.com/@itsnastynaz/video/6927727250741726470?lang=en,1000000.0,1132.0,2935.0,10200000.0
itsnastynaz,6.545660774398825e+18,6.927590651907329e+18,He Was Having A Hard Time In His Life 🥺 So I Helped Him Out 🙏❤️ ( HE SAID I MADE HIS DAY ) ☺️ #homeless #help #give love,1612955418.0,20.0,https://www.tiktok.com/@itsnastynaz/video/6927590651907329286?lang=en,164600.0,546.0,2915.0,1100000.0
itsnastynaz,6.545660774398825e+18,6.927383230781885e+18,I’m A Man 😂 #foryou #viral #joke,1612907108.0,13.0,https://www.tiktok.com/@itsnastynaz/video/6927383230781885702?lang=en,170100.0,1088.0,806.0,1300000.0
itsnastynaz,6.545660774398825e+18,6.927127492872375e+18,He Said Change It....😐 ( @tinysavage_  ) #foryou #funny #customers #kid,1612847586.0,8.0,https://www.tiktok.com/@itsnastynaz/video/6927127492872375558?lang=en,246200.0,239.0,637.0,2400000.0
itsnastynaz,6.545660774398825e+18,6.926962860522245e+18,HE Came To Ask Me For Food 🥺 So I Helped Him Out ❤️ His Smile Made Me CRY 😢 ( ENJOY ) 😊 #foryou #fyp #homeless,1612809232.0,14.0,https://www.tiktok.com/@itsnastynaz/video/6926962860522245382?lang=en,208100.0,721.0,3047.0,1400000.0
itsnastynaz,6.545660774398825e+18,6.926835919005814e+18,Make It Spicy 🥵 ( @tinysavage_  ) #foryou #kid #rude #viral,1612779699.0,22.0,https://www.tiktok.com/@itsnastynaz/video/6926835919005814021?lang=en,251000.0,544.0,1128.0,2800000.0
itsnastynaz,6.545660774398825e+18,6.926799220359925e+18,Bag it Up.............🤷🏻‍♂️ I Got Nervous 😟 #foryou #customersbelike,1612771164.0,24.0,https://www.tiktok.com/@itsnastynaz/video/6926799220359924998?lang=en,166500.0,200.0,1025.0,1400000.0
itsnastynaz,6.545660774398825e+18,6.926747512506289e+18,What’s A Bake ?????? #foryou #viral,1612759108.0,8.0,https://www.tiktok.com/@itsnastynaz/video/6926747512506289414?lang=en,132000.0,143.0,487.0,1700000.0
itsnastynaz,6.545660774398825e+18,6.926590587898465e+18,* He Was Rude * 😡 #foryou #customersbelike #fyp #foryoupage @axelbaby5,1612722554.0,13.0,https://www.tiktok.com/@itsnastynaz/video/6926590587898465542?lang=en,152200.0,131.0,494.0,1800000.0
itsnastynaz,6.545660774398825e+18,6.926390669170806e+18,this Is Broken...........😡 #foryou #customersbelike,1612676022.0,9.0,https://www.tiktok.com/@itsnastynaz/video/6926390669170806022?lang=en,200500.0,158.0,622.0,2200000.0
itsnastynaz,6.545660774398825e+18,6.926022069297679e+18,tHis Is bRoKen......💀 #foryou #kid #rude,1612590207.0,12.0,https://www.tiktok.com/@itsnastynaz/video/6926022069297679621?lang=en,453400.0,595.0,1370.0,9600000.0
itsnastynaz,6.545660774398825e+18,6.925549846204009e+18,"😢 He Was Looking Inside For People To Give  Him Food 🥺 , So I Brung Him In Fed Him And Gave Him $50 So He Gets Food Later🙏❤️ He Said He LOVES ME ☺️",1612480242.0,26.0,https://www.tiktok.com/@itsnastynaz/video/6925549846204009733?lang=en,1500000.0,5694.0,19200.0,9600000.0
itsnastynaz,6.545660774398825e+18,6.925117383002656e+18,"Would You Keep  It ? 🥺 Or Give It Back ? ❤️ Glad He Was Honest , Till His Prize Arrived 🙏☺️ #foryou #fyp #foryoupage",1612379548.0,37.0,https://www.tiktok.com/@itsnastynaz/video/6925117383002656005?lang=en,295800.0,562.0,2714.0,2600000.0
